setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"191,230",0.075008
0,0,300000,100%,raw-br-immed-retired,"1,920,400",0.075008
0,0,300000,100%,raw-br-immed-spec,"1,920,400",0.075008
0,0,300000,100%,raw-br-indirect-spec,"18,707",0.075008
0,0,300000,100%,raw-br-mis-pred,"165,394",0.075008
0,0,300000,100%,raw-br-mis-pred-retired,"167,427",0.075008
0,0,300000,100%,raw-br-pred,"1,578,210",0.054501
0,0,300000,100%,raw-br-retired,"1,900,126",0.054501
0,0,300000,100%,raw-br-return-retired,"155,131",0.054501
0,0,300000,100%,raw-br-return-spec,"155,131",0.054501
0,0,300000,100%,raw-bus-access,"1,371,591",0.054501
0,0,300000,100%,raw-bus-access-normal,0,0.054501
0,0,300000,100%,raw-bus-access-not-shared,0,0.054442
0,0,300000,100%,raw-bus-access-periph,0,0.054442
0,0,300000,100%,raw-bus-access-rd,"624,831",0.054442
0,0,300000,100%,raw-bus-access-shared,0,0.054442
0,0,300000,100%,raw-bus-access-wr,"750,380",0.054442
0,0,300000,100%,raw-bus-cycles,"14,902,094",0.054442
0,0,300000,100%,raw-cid-write-retired,1,0.054831
0,0,300000,100%,raw-cnt-cycles,0,0.054831
0,0,300000,100%,raw-cpu-cycles,"15,022,355",0.054831
0,0,300000,100%,raw-crypto-spec,0,0.054831
0,0,300000,100%,raw-dmb-spec,0,0.054831
0,0,300000,100%,raw-dp-spec,"4,656,331",0.055134
0,0,300000,100%,raw-dsb-spec,0,0.055134
0,0,300000,100%,raw-dtlb-walk,"2,377",0.055134
0,0,300000,100%,raw-exc-dabort,0,0.055134
0,0,300000,100%,raw-exc-fiq,0,0.055134
0,0,300000,100%,raw-exc-hvc,0,0.055134
0,0,300000,100%,raw-exc-irq,16,0.054720
0,0,300000,100%,raw-exc-pabort,0,0.054720
0,0,300000,100%,raw-exc-return,"1,415",0.054720
0,0,300000,100%,raw-exc-smc,0,0.054720
0,0,300000,100%,raw-exc-svc,0,0.054720
0,0,300000,100%,raw-exc-taken,"1,415",0.054720
0,0,300000,100%,raw-exc-trap-dabort,0,0.054344
0,0,300000,100%,raw-exc-trap-fiq,0,0.054344
0,0,300000,100%,raw-exc-trap-irq,0,0.054344
0,0,300000,100%,raw-exc-trap-other,0,0.054344
0,0,300000,100%,raw-exc-trap-pabort,0,0.054344
0,0,300000,100%,raw-exc-undef,0,0.054344
0,0,300000,100%,raw-inst-retired,"9,566,491",0.054783
0,0,300000,100%,raw-inst-spec,"9,977,099",0.054783
0,0,300000,100%,raw-isb-spec,0,0.054783
0,0,300000,100%,raw-itlb-walk,907,0.054783
0,0,300000,100%,raw-l1d-cache,"2,924,971",0.054783
0,0,300000,100%,raw-l1d-cache-allocate,0,0.054783
0,0,300000,100%,raw-l1d-cache-inval,0,0.054800
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,0.054800
0,0,300000,100%,raw-l1d-cache-rd,"2,529,015",0.054800
0,0,300000,100%,raw-l1d-cache-refill,"90,481",0.054800
0,0,300000,100%,raw-l1d-cache-refill-inner,"79,550",0.054800
0,0,300000,100%,raw-l1d-cache-refill-outer,"15,674",0.054800
0,0,300000,100%,raw-l1d-cache-refill-rd,"72,888",0.054878
0,0,300000,100%,raw-l1d-cache-refill-wr,"17,410",0.054878
0,0,300000,100%,raw-l1d-cache-wb,"118,627",0.054878
0,0,300000,100%,raw-l1d-cache-wb-clean,0,0.054878
0,0,300000,100%,raw-l1d-cache-wb-victim,0,0.054878
0,0,300000,100%,raw-l1d-cache-wr,"397,280",0.054878
0,0,300000,100%,raw-l1d-tlb,"2,911,088",0.054354
0,0,300000,100%,raw-l1d-tlb-rd,0,0.054354
0,0,300000,100%,raw-l1d-tlb-refill,"110,196",0.054354
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,0.054354
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,0.054354
0,0,300000,100%,raw-l1d-tlb-wr,0,0.054354
0,0,300000,100%,raw-l1i-cache,"7,371,091",0.054453
0,0,300000,100%,raw-l1i-cache-lmiss,0,0.054453
0,0,300000,100%,raw-l1i-cache-refill,"138,664",0.054453
0,0,300000,100%,raw-l1i-tlb,"9,784,905",0.054453
0,0,300000,100%,raw-l1i-tlb-refill,"19,202",0.054453
0,0,300000,100%,raw-l2d-cache,"488,780",0.054453
0,0,300000,100%,raw-l2d-cache-allocate,"156,850",0.054840
0,0,300000,100%,raw-l2d-cache-inval,0,0.054840
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,0.054840
0,0,300000,100%,raw-l2d-cache-rd,"331,879",0.054840
0,0,300000,100%,raw-l2d-cache-refill,"160,164",0.054840
0,0,300000,100%,raw-l2d-cache-refill-rd,"157,856",0.054840
0,0,300000,100%,raw-l2d-cache-refill-wr,"2,279",0.054361
0,0,300000,100%,raw-l2d-cache-wb,"180,758",0.054361
0,0,300000,100%,raw-l2d-cache-wb-clean,0,0.054361
0,0,300000,100%,raw-l2d-cache-wb-victim,0,0.054361
0,0,300000,100%,raw-l2d-cache-wr,"158,967",0.054361
0,0,300000,100%,raw-l2d-tlb,"140,578",0.054361
0,0,300000,100%,raw-l2d-tlb-rd,0,0.054549
0,0,300000,100%,raw-l2d-tlb-refill,"3,157",0.054549
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,0.054549
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,0.054549
0,0,300000,100%,raw-l2d-tlb-wr,0,0.054549
0,0,300000,100%,raw-l2i-cache,0,0.054549
0,0,300000,100%,raw-l2i-cache-lmiss,0,0.053879
0,0,300000,100%,raw-l2i-cache-refill,0,0.053879
0,0,300000,100%,raw-l2i-tlb,0,0.053879
0,0,300000,100%,raw-l2i-tlb-refill,0,0.053879
0,0,300000,100%,raw-l3d-cache,"331,710",0.053879
0,0,300000,100%,raw-l3d-cache-allocate,"175,288",0.053879
0,0,300000,100%,raw-l3d-cache-inval,0,0.054734
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,0.054734
0,0,300000,100%,raw-l3d-cache-rd,"157,878",0.054734
0,0,300000,100%,raw-l3d-cache-refill,"32,360",0.054734
0,0,300000,100%,raw-l3d-cache-refill-rd,"32,360",0.054734
0,0,300000,100%,raw-l3d-cache-refill-wr,0,0.054734
0,0,300000,100%,raw-l3d-cache-wb,0,0.054633
0,0,300000,100%,raw-l3d-cache-wb-clean,0,0.054633
0,0,300000,100%,raw-l3d-cache-wb-victim,0,0.054633
0,0,300000,100%,raw-l3d-cache-wr,0,0.054633
0,0,300000,100%,raw-ld-retired,"1,940,968",0.054633
0,0,300000,100%,raw-ld-spec,"2,013,640",0.054633
0,0,300000,100%,raw-ldrex-spec,0,0.054793
0,0,300000,100%,raw-ldst-spec,"3,203,546",0.054793
0,0,300000,100%,raw-ll-cache,0,0.054793
0,0,300000,100%,raw-ll-cache-miss,0,0.054793
0,0,300000,100%,raw-ll-cache-miss-rd,"32,993",0.054793
0,0,300000,100%,raw-ll-cache-rd,"158,484",0.054793
0,0,300000,100%,raw-mem-access,"3,781,934",0.054182
0,0,300000,100%,raw-mem-access-rd,"2,475,821",0.054182
0,0,300000,100%,raw-mem-access-wr,"1,306,113",0.054182
0,0,300000,100%,raw-memory-error,0,0.054182
0,0,300000,100%,raw-op-retired,0,0.054182
0,0,300000,100%,raw-op-spec,0,0.054182
0,0,300000,100%,raw-pc-write-retired,"1,064,902",0.054478
0,0,300000,100%,raw-pc-write-spec,"1,949,613",0.054478
0,0,300000,100%,raw-rc-ld-spec,0,0.054478
0,0,300000,100%,raw-rc-st-spec,0,0.054478
0,0,300000,100%,raw-remote-access,0,0.054478
0,0,300000,100%,raw-remote-access-rd,0,0.054478
0,0,300000,100%,raw-sample-collision,0,0.054936
0,0,300000,100%,raw-sample-feed,0,0.054936
0,0,300000,100%,raw-sample-filtrate,0,0.054936
0,0,300000,100%,raw-sample-pop,0,0.054936
0,0,300000,100%,raw-st-retired,"1,073,732",0.054936
0,0,300000,100%,raw-st-spec,"1,175,545",0.054936
0,0,300000,100%,raw-stall,0,0.055301
0,0,300000,100%,raw-stall-backend,"4,733,698",0.055301
0,0,300000,100%,raw-stall-backend-mem,0,0.055301
0,0,300000,100%,raw-stall-frontend,"2,578,109",0.055301
0,0,300000,100%,raw-stall-slot,0,0.055301
0,0,300000,100%,raw-stall-slot-backend,0,0.055301
0,0,300000,100%,raw-stall-slot-frontend,0,0.054458
0,0,300000,100%,raw-strex-fail-spec,0,0.054458
0,0,300000,100%,raw-strex-pass-spec,0,0.054458
0,0,300000,100%,raw-strex-spec,0,0.054458
0,0,300000,100%,raw-sve-inst-retired,0,0.054458
0,0,300000,100%,raw-sve-inst-spec,0,0.054458
0,0,300000,100%,raw-sw-incr,0,0.054791
0,0,300000,100%,raw-ttbr-write-retired,6,0.054791
0,0,300000,100%,raw-unaligned-ld-spec,0,0.054791
0,0,300000,100%,raw-unaligned-ldst-retired,"112,728",0.054791
0,0,300000,100%,raw-unaligned-ldst-spec,0,0.054791
0,0,300000,100%,raw-unaligned-st-spec,0,0.054791
0,0,300000,100%,raw-vfp-spec,"226,429",0.057979
0,0,1036800,100%,raw-ase-spec,"191,188",0.017598
0,0,1036800,100%,raw-br-immed-retired,"1,714,439",0.017598
0,0,1036800,100%,raw-br-immed-spec,"1,714,439",0.017598
0,0,1036800,100%,raw-br-indirect-spec,"16,091",0.017598
0,0,1036800,100%,raw-br-mis-pred,"137,695",0.017598
0,0,1036800,100%,raw-br-mis-pred-retired,"139,587",0.017598
0,0,1036800,100%,raw-br-pred,"1,558,733",0.017618
0,0,1036800,100%,raw-br-retired,"1,877,737",0.017618
0,0,1036800,100%,raw-br-return-retired,"153,745",0.017618
0,0,1036800,100%,raw-br-return-spec,"153,745",0.017618
0,0,1036800,100%,raw-bus-access,"1,222,230",0.017618
0,0,1036800,100%,raw-bus-access-normal,0,0.017618
0,0,1036800,100%,raw-bus-access-not-shared,0,0.017483
0,0,1036800,100%,raw-bus-access-periph,0,0.017483
0,0,1036800,100%,raw-bus-access-rd,"549,990",0.017483
0,0,1036800,100%,raw-bus-access-shared,0,0.017483
0,0,1036800,100%,raw-bus-access-wr,"670,706",0.017483
0,0,1036800,100%,raw-bus-cycles,"16,402,841",0.017483
0,0,1036800,100%,raw-cid-write-retired,1,0.017630
0,0,1036800,100%,raw-cnt-cycles,0,0.017630
0,0,1036800,100%,raw-cpu-cycles,"16,509,216",0.017630
0,0,1036800,100%,raw-crypto-spec,0,0.017630
0,0,1036800,100%,raw-dmb-spec,0,0.017630
0,0,1036800,100%,raw-dp-spec,"4,554,381",0.017498
0,0,1036800,100%,raw-dsb-spec,0,0.017498
0,0,1036800,100%,raw-dtlb-walk,"2,359",0.017498
0,0,1036800,100%,raw-exc-dabort,0,0.017498
0,0,1036800,100%,raw-exc-fiq,0,0.017498
0,0,1036800,100%,raw-exc-hvc,0,0.017498
0,0,1036800,100%,raw-exc-irq,5,0.017493
0,0,1036800,100%,raw-exc-pabort,0,0.017493
0,0,1036800,100%,raw-exc-return,"1,407",0.017493
0,0,1036800,100%,raw-exc-smc,0,0.017493
0,0,1036800,100%,raw-exc-svc,0,0.017493
0,0,1036800,100%,raw-exc-taken,"1,407",0.017493
